date,total,drawdown,rebalance,trade_cost,应急现金/灵活资金,固收/债券,黄金
2022-04-19,99810.8,0.0,True,4.0017766878008845e-15,13973.512000000002,69867.56,15969.728000000001
2022-04-20,99628.93320047171,-0.001822115437690952,False,0.0,13974.343756666669,69887.72892347984,15766.860520325205
2022-04-21,99775.06256972763,-0.0003580517366094105,False,0.0,13975.17556284266,69826.10165729147,15973.785349593498
2022-04-22,99814.76938774275,0.0,False,0.0,13976.007418530924,69808.17372530939,16030.58824390244
2022-04-25,99709.97458904293,-0.0010498927096923572,False,0.0,13976.839323734408,69812.09546043047,15921.03980487805
2022-04-26,99613.19450454538,-0.0020194895448221173,False,0.0,13977.671278456059,69852.43330739014,15783.08991869919
2022-04-27,99599.17104512312,-0.0021599843784853023,False,0.0,13978.503282698824,69829.46314453811,15791.204617886182
2022-04-28,99553.79154424104,-0.002614621514456461,False,0.0,13979.335336465652,69791.3662890762,15783.089918699192
2022-04-29,99838.9982979483,0.0,False,0.0,13980.167439759489,69864.75876062782,15994.072097560982
2022-05-05,99787.64515393108,-0.0005143595678310797,False,0.0,13980.999592583285,69865.31900850227,15941.326552845534
2022-05-06,99706.85236106154,-0.0013235903718945563,False,0.0,13981.831794939986,69812.09546043049,15912.925105691063
2022-05-09,99822.59988174759,-0.00016424860505681593,False,0.0,13982.664046832542,69858.03578613455,15981.900048780493
2022-05-10,99852.5539880708,0.0,False,0.0,13983.496348263901,70004.82072923778,15864.236910569112
2022-05-11,99717.89530335332,-0.0013485752676247742,False,0.0,13984.328699237012,69950.47668541712,15783.089918699194
2022-05-12,99911.00384388589,0.0,False,0.0,13985.161099754823,69988.57354087902,15937.269203252037
2022-05-13,99810.049080651,-0.0010104468912416342,False,0.0,13985.993549820285,70049.08031131852,15774.975219512198
2022-05-16,99652.35592719112,-0.0025887830843829285,False,0.0,13986.826049436346,70040.67659320192,15624.85328455285
2022-05-17,99842.15649908314,-0.0006890867087105956,False,0.0,13987.658598605954,70124.15352649345,15730.344373983744
2022-05-18,99787.566843615,-0.0012354695230943902,False,0.0,13988.491197332061,70235.08260563253,15563.99304065041
2022-05-19,99786.93660726777,-0.0012417775004240905,False,0.0,13989.323845617617,70176.81682669079,15620.795934959355
2022-05-20,99838.37389283627,-0.0007269464649068968,False,0.0,13990.15654346557,70138.15972335445,15710.057626016263
2022-05-23,99882.19232212426,-0.00028837185748475935,False,0.0,13990.989290878872,70168.97335644864,15722.22967479675
2022-05-24,99946.1619344756,0.0,False,0.0,13991.822087860472,70203.7087246639,15750.631121951223
2022-05-25,100023.3063164399,0.0,False,0.0,13992.65493441332,70259.73351210788,15770.917869918701
2022-05-26,100210.91961374594,0.0,False,0.0,13993.487830540367,70389.71101897792,15827.720764227643
2022-05-30,99941.78424390923,-0.002685689053389173,False,0.0,13994.320776244565,70184.66029693295,15762.803170731706
2022-05-31,99843.48894538722,-0.003666573161636988,False,0.0,13995.153771528865,70117.99079987462,15730.344373983738
2022-06-01,99722.71932693734,-0.004871727439388018,False,0.0,13995.986816396218,70097.82187639478,15628.910634146341
2022-06-02,99813.22095586486,-0.003968615989295099,False,0.0,13996.819910849576,70086.05667103155,15730.34437398374
2022-06-06,99804.56546601123,-0.004054988710820773,False,0.0,13997.653054891887,70109.02683388357,15697.885577235775
2022-06-07,99741.17692849638,-0.004687539911420235,False,0.0,13998.486248526107,70105.66534663693,15637.025333333335
2022-06-09,99846.51637987987,-0.003636362536843518,False,0.0,13999.319491755186,70100.62311576697,15746.573772357722
2022-06-10,99756.6606769866,-0.004533028321766053,False,0.0,14000.152784582076,70074.85171354274,15681.65617886179
2022-06-13,100001.63085737087,-0.002088482544434833,False,0.0,14000.98612700973,70071.4902262961,15929.15450406504
2022-06-14,99680.21730792319,-0.005295853065397371,False,0.0,14001.819519041099,70037.31510595528,15641.082682926826
2022-06-15,99563.91227925474,-0.0064564554140909,False,0.0,14002.652960679137,70005.3809771122,15555.878341463413
2022-06-16,99610.63272625217,-0.005990234295898289,False,0.0,14003.486451926796,70002.57973774,15604.566536585364
2022-06-17,99783.89808254647,-0.004261227547311064,False,0.0,14004.31999278703,70061.40576455618,15718.172325203252
2022-06-21,99676.98180210878,-0.0053281400240130505,False,0.0,14005.15358326279,70042.91758469967,15628.910634146341
2022-06-22,99718.86694149434,-0.0049101702104736855,False,0.0,14005.987223357031,70096.14113277146,15616.738585365856
2022-06-23,99739.9873791775,-0.004699410367488888,False,0.0,14006.820913072706,70096.14113277146,15637.025333333337
2022-06-24,99635.19441461425,-0.005745134376081706,False,0.0,14007.65465241277,70100.06286789254,15527.476894308946
2022-06-27,99633.95170112012,-0.00575753535492618,False,0.0,14008.488441380176,69992.4952760001,15632.967983739842
2022-06-28,99557.984916371,-0.0065156042863553365,False,0.0,14009.322279977876,70000.89899411671,15547.763642276424
2022-06-29,99569.65249864306,-0.006399174037865163,False,0.0,14010.156168208827,70056.36353368626,15503.132796747972
2022-06-30,99560.5553792275,-0.006489953759781897,False,0.0,14010.990106075982,70058.60452518403,15490.960747967485
2022-07-01,99523.0641450519,-0.00686407700224001,True,2.340448651076418,13933.228980307269,69666.14490153633,15923.690263208307
2022-07-04,99472.49002968623,-0.007368753693768215,False,0.0,13934.058339175144,69543.20264969322,15995.229040817861
2022-07-05,99390.84341007826,-0.008183501427075912,False,0.0,13934.887747409619,69477.55927540596,15978.396387262674
2022-07-06,99109.2681956264,-0.010993327098142158,False,0.0,13935.71720501363,69498.14236734349,15675.40862326928
2022-07-07,98908.34809480858,-0.012998299226850807,False,0.0,13936.546711990119,69502.59276560025,15469.208617218223
2022-07-08,98848.01141985947,-0.013600396036077433,False,0.0,13937.376268342023,69470.88367802081,15439.751473496643
2022-07-11,98873.87451578403,-0.01334230943210013,False,0.0,13938.20587407228,69495.9171682151,15439.751473496643
2022-07-12,98912.77479094604,-0.012954125436663744,False,0.0,13939.035529183831,69538.19595165436,15435.543310107845
2022-07-13,98863.30368432753,-0.013447795256371964,False,0.0,13939.865233679617,69580.47473509361,15342.963715554308
2022-07-14,98923.41528002675,-0.012847944502273445,False,0.0,13940.694987562574,69635.54841352107,15347.171878943105
