date,total,drawdown,unallocated_cash,invested_total,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2022-04-19,499978.0,-4.4000000000044004e-05,455000.0,9978.0,35000.0,9978.0,0.0,0.0,0.0,0.0,0.0
2022-04-20,500010.04705233464,0.0,455027.0833333333,9980.880385667995,35002.083333333336,9980.880385667995,0.0,0.0,0.0,0.0,0.0
2022-04-21,500030.4142766824,0.0,455054.1682787698,9972.079207238014,35004.16679067461,9972.079207238012,0.0,0.0,0.0,0.0,0.0
2022-04-22,500057.0240728587,0.0,455081.25483640545,9969.518864422018,35006.250372031194,9969.518864422016,0.0,0.0,0.0,0.0,0.0
2022-04-25,500086.7560231597,0.0,455108.3430063362,9970.078939413019,35008.33407741048,9970.078939413017,0.0,0.0,0.0,0.0,0.0
2022-04-26,500121.6904062268,0.0,455135.43278865796,9975.83971074901,35010.41790681985,9975.839710749007,0.0,0.0,0.0,0.0,0.0
2022-04-27,500147.5853152495,0.0,455162.5241834668,9972.559271516016,35012.50186026668,9972.559271516013,0.0,0.0,0.0,0.0,0.0
2022-04-28,500171.321671649,0.0,455189.61719085864,9967.118543032026,35014.58593775836,9967.118543032024,0.0,0.0,0.0,0.0,0.0
2022-04-29,500210.9818966668,0.0,455216.7118109295,9977.599946435002,35016.670139302274,9977.599946435004,0.0,0.0,0.0,0.0,0.0
2022-05-05,500218.2424658292,0.0,445243.8080437754,19955.679957148,35018.7544649058,19955.679957148004,0.0,0.0,0.0,0.0,0.0
2022-05-06,500231.6272438421,0.0,445270.31065139704,19940.47767786871,35020.838914576336,19940.47767786871,0.0,0.0,0.0,0.0,0.0
2022-05-09,500273.33797012275,0.0,445296.81483655487,19953.599645246628,35022.92348832125,19953.599645246628,0.0,0.0,0.0,0.0,0.0
2022-05-10,500343.8547167497,0.0,445323.32059934275,19995.525931259,35025.008186147934,19995.525931259002,0.0,0.0,0.0,0.0,0.0
2022-05-11,500356.9245519132,0.0,445349.8279398546,19980.003603994883,35027.09300806378,19980.003603994883,0.0,0.0,0.0,0.0,0.0
2022-05-12,500396.4000477395,0.0,445376.3368581843,19990.885235479014,35029.17795407616,19990.88523547901,0.0,0.0,0.0,0.0,0.0
2022-05-13,500442.27820527804,0.0,445402.8473544259,20008.167826659686,35031.26302419248,20008.167826659683,0.0,0.0,0.0,0.0,0.0
2022-05-16,500468.47511386673,0.0,445429.35942867317,20005.767466773475,35033.348218420106,20005.76746677348,0.0,0.0,0.0,0.0,0.0
2022-05-17,500520.9176594296,0.0,445455.8730810201,20029.61104164311,35035.43353676644,20029.61104164311,0.0,0.0,0.0,0.0,0.0
2022-05-18,500581.2030829405,0.0,445482.3883115606,20061.295792141012,35037.51897923886,20061.295792141012,0.0,0.0,0.0,0.0,0.0
2022-05-19,500593.16296316346,0.0,445508.90512038866,20044.653296929995,35039.60454584477,20044.653296929995,0.0,0.0,0.0,0.0,0.0
2022-05-20,500610.72538564325,0.0,445535.4235075982,20033.611641453455,35041.690236591545,20033.611641453455,0.0,0.0,0.0,0.0,0.0
2022-05-23,500648.132485806,0.0,445561.9434732832,20042.412961036207,35043.77605148658,20042.412961036207,0.0,0.0,0.0,0.0,0.0
2022-05-24,500686.66145664064,0.0,445588.4650175375,20052.334448565845,35045.86199053726,20052.33444856585,0.0,0.0,0.0,0.0,0.0
2022-05-25,500731.2730420134,0.0,445614.9881404552,20068.336847807208,35047.94805375098,20068.33684780721,0.0,0.0,0.0,0.0,0.0
2022-05-26,500797.0094973125,0.0,445641.5128421302,20105.46241404717,35050.03424113513,20105.462414047175,0.0,0.0,0.0,0.0,0.0
2022-05-30,500767.0533081774,-5.981702879009898e-05,445668.0391226565,20046.893632823783,35052.1205526971,20046.893632823783,0.0,0.0,0.0,0.0,0.0
2022-05-31,500776.6247482989,-4.070461409910742e-05,445694.5669821281,20027.850777726562,35054.20698844428,20027.850777726562,0.0,0.0,0.0,0.0,0.0
2022-06-01,500777.47988302266,-3.8997066514889767e-05,435721.0964206389,30000.089913999676,35056.29354838407,30000.089913999673,0.0,0.0,0.0,0.0,0.0
2022-06-02,500800.46713720966,0.0,435747.03220018774,29995.05470449807,35058.38023252386,29995.054704498067,0.0,0.0,0.0,0.0,0.0
2022-06-06,500838.3219160242,0.0,435772.96952353296,30004.885351620243,35060.46704087103,30004.885351620243,0.0,0.0,0.0,0.0,0.0
