date,total,drawdown,rebalance,trade_cost,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2022-04-19,99795.4,0.0,True,2.2009771782904866e-14,6985.678,34928.38999999999,29938.619999999995,12973.402,4989.77,7983.632,1995.908
2022-04-20,98933.92553830463,-0.00863240652069508,False,0.0,6986.093814166667,34938.47290578894,29385.66395778364,12699.63736225088,5068.319602698651,7882.213910569106,1973.5239850467287
2022-04-21,98247.16038510924,-0.015514138075409911,False,0.0,6986.5096530841765,34907.664026989376,28848.506659630606,12456.291017584994,5131.907376311844,7985.660361788618,1930.6212897196258
2022-04-22,98426.03109172444,-0.01372176381151391,False,0.0,6986.925516754003,34898.70144406587,28927.50037994723,12654.009922626024,5064.579145427287,8014.057426829268,1880.257256074766
2022-04-25,96044.54626006716,-0.03758543720384744,False,0.0,6987.341405177619,34900.66200908039,27402.92157783641,12152.108086752638,4899.999025487256,7959.291658536585,1742.2224971962614
2022-04-26,95798.58946392895,-0.040050047758424245,False,0.0,6987.757318356498,34920.82782065829,27165.94041688654,12152.108086752638,4989.7699999999995,7890.327357723577,1691.8584635514017
2022-04-27,96680.10894509699,-0.03121678008107598,False,0.0,6988.173256292114,34909.34451128754,28003.273852242743,12212.94467291911,4870.075367316341,7894.384081300813,1801.9132037383174
2022-04-28,97168.16162193009,-0.026326247282639326,False,0.0,6988.589218985941,34890.299022575084,28208.657525065966,12471.50016412661,4933.663140929534,7890.327357723578,1785.1251925233641
2022-04-29,98444.10075200057,-0.013540696745535596,False,0.0,6989.005206439452,34926.98959641821,28998.594728232194,12669.219069167642,5012.212743628185,7995.802170731708,1852.2772373831772
2022-05-05,98314.87002595261,-0.01483565348750926,False,0.0,6989.421218654121,34927.269677134565,28880.10414775726,12669.219069167642,5015.953200899549,7969.4334674796755,1863.4692448598125
2022-05-06,97003.5808850401,-0.027975428877081487,False,0.0,6989.837255631422,34900.66200908039,28113.86506068602,12334.61784525205,4896.258568215891,7955.2349349593505,1813.1052112149525
2022-05-09,96828.39651954769,-0.029730864152579195,False,0.0,6990.253317372828,34923.62862782189,27861.085155672827,12395.45443141852,4870.075367316341,7989.717085365854,1798.1825345794387
2022-05-10,97292.30124223749,-0.025082305975651198,False,0.0,6990.669403879814,34997.00977550813,28216.55689709763,12517.127603751462,4780.304392803597,7930.894593495936,1859.7385757009342
2022-05-11,97741.79915328267,-0.020578111282857914,False,0.0,6991.085515153854,34969.84194602124,28651.022358839058,12532.336750293081,4776.563935532232,7890.327357723578,1930.6212897196256
2022-05-12,97588.1614126925,-0.022117638561571895,False,0.0,6991.501651196423,34988.8874347337,28493.034918205816,12501.918457209846,4694.273875562217,7967.405105691057,1951.1399700934576
