date,action,category,amount,cost,capacity_ok_5pct
2022-04-19,MOVE_TO_EMERGENCY,应急现金/灵活资金,35000.0,0.0,True
2022-04-19,BUY,固收/债券,10000.0,22.0,True
2022-05-05,BUY,固收/债券,10000.0,22.0,True
2022-06-01,BUY,固收/债券,10000.0,22.0,True
2022-07-01,BUY,固收/债券,3334.1475837856315,7.33512468432839,True
2022-07-01,BUY,A股宽基,3447.8546980419155,7.5852803356922145,True
2022-07-01,BUY,A股红利,1494.0703691514968,3.286954812133293,True
2022-07-01,BUY,美股宽基,574.6424496736527,1.264213389282036,True
2022-07-01,BUY,黄金,919.4279194778442,2.0227414228512575,True
2022-07-01,BUY,主题仓,229.85697986946104,0.5056853557128144,True
2022-08-01,BUY,固收/债券,3329.520244355154,7.324944537581339,True
2022-08-01,BUY,A股宽基,3452.3368089382448,7.595140979664139,True
2022-08-01,BUY,A股红利,1495.1426491532156,3.2893138281370744,True
2022-08-01,BUY,美股宽基,573.2212564734472,1.261086764241584,True
2022-08-01,BUY,黄金,919.5348447937039,2.0229766585461486,True
2022-08-01,BUY,主题仓,230.24419628623477,0.5065372318297165,True
2022-09-01,BUY,固收/债券,3325.2732371990064,7.3156011218378145,True
2022-09-01,BUY,A股宽基,3458.2626060261105,7.608177733257444,True
2022-09-01,BUY,A股红利,1492.2028588867224,3.2828462895507897,True
2022-09-01,BUY,美股宽基,573.9310637930671,1.2626483403447477,True
2022-09-01,BUY,黄金,919.833780705353,2.023634317551777,True
2022-09-01,BUY,主题仓,230.49645338973946,0.5070921974574268,True
2022-10-10,BUY,固收/债券,2659.3923738677436,5.850663222509036,True
2022-10-10,BUY,A股宽基,4169.412722860064,9.17270799029214,True
2022-10-10,BUY,A股红利,1790.291961326345,3.9386423149179595,True
2022-10-10,BUY,美股宽基,460.5823988428399,1.013281277454248,True
2022-10-10,BUY,黄金,733.7973879878953,1.6143542535733697,True
2022-10-10,BUY,主题仓,186.5231551151136,0.41035094125324995,True
2022-11-01,BUY,固收/债券,2667.9078771939758,5.8693973298267474,True
2022-11-01,BUY,A股宽基,4156.556696859888,9.144424733091753,True
2022-11-01,BUY,A股红利,1794.4376704972633,3.9477628750939795,True
2022-11-01,BUY,美股宽基,458.54126864978593,1.008790791029529,True
2022-11-01,BUY,黄金,737.1498947494885,1.6217297684488747,True
2022-11-01,BUY,主题仓,185.40659204959803,0.4078945025091157,True
2022-12-01,BUY,固收/债券,2710.1002100050323,5.9622204620110715,True
2022-12-01,BUY,A股宽基,4123.644007164528,9.072016815761963,True
2022-12-01,BUY,A股红利,1773.8807380074957,3.9025376236164906,True
2022-12-01,BUY,美股宽基,462.40466951186295,1.0172902729260986,True
2022-12-01,BUY,黄金,742.6047603379508,1.6337304727434918,True
