date,total,drawdown,rebalance,trade_cost,应急现金/灵活资金,固收/债券,黄金
2022-04-29,99838.9982979483,0.0,False,0.0,13980.167439759489,69864.75876062782,15994.072097560982
2022-05-31,99843.48894538722,-0.003666573161636988,False,0.0,13995.153771528865,70117.99079987462,15730.344373983738
2022-06-30,99560.5553792275,-0.006489953759781897,False,0.0,14010.990106075982,70058.60452518403,15490.960747967485
2022-07-29,99721.70445780663,-0.004881854770168226,False,0.0,13949.825540669355,69995.47437253686,15776.40454460041
2022-08-31,100339.99489372136,-0.0009908666353277695,False,0.0,13968.936025950527,70556.78085267125,15814.278015099582
2022-09-30,100057.684304581,-0.004943197162995849,False,0.0,13986.407593455804,70151.79461130568,15919.482099819508
2022-10-31,100666.00076885117,-2.1227932400225136e-05,False,0.0,13999.733929894064,70645.78881780646,16020.478021150644
2022-11-30,100615.5558534575,-0.005427886852606867,False,0.0,14018.078377465978,70000.48107057567,16596.99640541585
2022-12-30,101142.2218709987,-0.0002218595187044592,False,0.0,14036.446862548777,70332.03574070461,16773.739267745324
2023-01-31,101341.47842468301,-0.001351372564586395,False,0.0,14170.05028007381,70658.76805731376,16512.660087295437
2023-02-28,101204.18358644364,-0.004341435208604083,False,0.0,14186.928930036389,70723.735302637,16293.519353770256
2023-03-31,102597.68276467515,-0.0019652750764633797,False,0.0,14206.364233776349,71018.32815643043,17372.990374468365
2023-04-28,103049.58775674184,-0.001059197281568669,False,0.0,14222.439565307319,71385.16906752303,17441.979123911486
2023-05-31,103944.97329005908,0.0,False,0.0,14239.380618746936,71991.71671136015,17713.87595995199
2023-06-30,104071.18336007836,-0.0022922684391846193,False,0.0,14256.341851515868,72165.89613632167,17648.94537224082
2023-07-31,104428.76109702041,-0.0035580825724476073,False,0.0,14596.737892348463,72974.89352938469,16857.12967528726
2023-08-31,105125.46574017641,0.0,False,0.0,14616.734611578502,73326.61709803747,17182.114030560428
2023-09-28,104657.0470148751,-0.006486581044520712,False,0.0,14634.14532941143,73062.54168556022,16960.359999903445
2023-10-31,105479.40481891255,0.0,False,0.0,14648.960744456426,73166.58852902017,17663.85554543594
2023-11-30,105399.86778912366,-0.0011864629490865308,False,0.0,14668.155901571938,73186.38004815657,17545.331839395145
2023-12-29,106357.41691079707,0.0,False,0.0,14686.502014370802,73900.00568101798,17770.909215408294
2024-01-31,106872.92509624633,0.0,False,0.0,14909.189155424503,74993.36099233947,16970.374948482353
2024-02-29,107104.40773519423,0.0,False,0.0,14922.506479460391,75233.40944709479,16948.491808639046
2024-03-29,109042.27225173428,0.0,False,0.0,14941.170719801923,75405.60572580286,18695.495806129496
2024-04-30,109865.42230878319,-0.008402301357848807,False,0.0,14958.96788958087,75627.40821725139,19279.046201950932
2024-05-31,110493.68207162217,-0.005547425465073363,False,0.0,14976.786258451784,76029.95978270806,19486.936030462322
2024-06-28,110845.19261919947,-0.002383800518736212,False,0.0,14993.733367536928,76532.29395999889,19319.165291663652
2024-07-31,111768.31657646777,-0.0006785903087754841,False,0.0,15520.827517192858,78074.61377638555,18172.87528288937
2024-08-30,112147.87814368696,-0.001272683040410394,False,0.0,15541.165118470686,78146.33456456228,18460.378460654
2024-09-30,112818.05523238554,-0.006817621911438421,False,0.0,15558.750855225418,78180.45977829152,19078.844598868603
2024-10-31,114494.05380409957,-0.0011265478703211818,False,0.0,15575.429382377413,78515.92798105365,20402.6964406685
2024-11-29,114556.69254701436,-0.0014763013973372319,False,0.0,15594.910262336516,79160.83668119111,19800.945603486733
2024-12-31,115563.80834384584,-0.0013410217991358664,False,0.0,15615.344937390253,80130.80250193604,19817.660904519547
2025-01-27,116600.08105660028,0.0,False,0.0,16233.49878999892,81135.08336460577,19231.49890199558
2025-02-28,116641.98880691797,-0.008521471663210711,False,0.0,16250.900627258234,80409.18251625123,19981.905663408506
2025-03-31,118384.44091750814,0.0,False,0.0,16271.22634904572,80370.02361380374,21743.19095465867
2025-04-30,120468.6537334455,-0.012306226712064494,False,0.0,16291.577493114455,81010.59312249666,23166.483117834392
2025-05-30,120049.81798356758,-0.015740161178536938,False,0.0,16310.012365334727,80889.60964777086,22850.195970462
2025-06-30,120193.85157875044,-0.014559264067981026,False,0.0,16329.440030315347,81184.7625692033,22679.648979231795
2025-07-31,120173.14283823558,-0.01472905009467984,False,0.0,16887.40862535732,84133.564677153,19152.169535725257
2025-08-29,120448.51289058453,-0.012471356681280965,False,0.0,16908.530455913286,84033.43261910128,19506.54981556998
2025-09-30,122893.626935309,0.0,False,0.0,16930.68642344951,84233.69673520465,21729.243776654843
2025-10-31,124498.1197873536,-0.01376245766315154,False,0.0,16947.82682630283,84635.43868932722,22914.854271723554
2025-11-28,125131.36200664827,-0.008746098772528854,False,0.0,16968.014223734284,84537.1272141492,23626.22056876479
2025-12-31,125899.1942877565,-0.008044935206710901,False,0.0,16991.25945967849,84671.97171899216,24235.96310908585
2026-01-30,129844.54752873995,-0.01451724533002019,False,0.0,17703.10377557899,88709.78072727722,23431.663025883736
2026-02-27,129868.16986009064,-0.014337958632085868,False,0.0,17717.862071263826,88880.40390455151,23269.903884275303
2026-03-31,127504.37199432828,-0.032278504281250675,False,0.0,17741.07854048248,89119.84721094943,20643.44624289638
2026-04-30,127715.91681048143,-0.030672939995906923,False,0.0,17763.268093842922,89353.89907866024,20598.74963797827
2026-05-26,127481.4601204082,-0.03245239881171147,False,0.0,17779.134764704497,89580.33950351868,20121.985852185015
