date,total,drawdown,rebalance,trade_cost,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2022-04-29,98444.10075200057,-0.013540696745535596,False,0.0,6989.005206439452,34926.98959641821,28998.594728232194,12669.219069167642,5012.212743628185,7995.802170731708,1852.2772373831772
2022-05-31,99220.23151448932,-0.005763476928903222,False,0.0,6996.497216189186,35053.58608021279,29583.148258575216,12836.519681125437,4877.556281859069,7863.958654471543,2008.9653420560742
2022-06-30,102209.63029559485,-0.0005530994842165571,False,0.0,7004.41416175351,35023.89752427868,32892.985139841694,12897.356267291905,4469.84643928036,7744.285308943089,2176.845454205607
2022-07-29,99950.23904416719,-0.02264633645964842,False,0.0,7152.056932727495,35886.58627207687,28600.755762979366,12781.607518319963,5586.653748047301,8088.541549696601,1854.0372603195956
2022-08-31,100166.65811798359,-0.02053010365543262,False,0.0,7161.854853020081,36174.367355139606,28017.81982250585,13250.944391697687,5590.937991719119,8107.959227463274,1862.7744764379722
2022-09-30,97198.24682497064,-0.04955642395106241,False,0.0,7170.812502356801,35966.731449817824,26003.370306692297,13063.209642346594,5205.356061255733,8161.897221259596,1626.8696412417944
2022-10-31,94804.95326361766,-0.07295901160352669,False,0.0,7177.644897259033,36220.00162004546,23767.5527122179,12077.602208253375,5655.201646796351,8213.677695304068,1693.2724837414587
2022-11-30,98861.80838307306,-0.033289449515735425,False,0.0,7187.050071040688,35889.15319947783,26320.66455277281,13516.90195327839,5728.033789217213,8509.25790130792,1710.7469159782129
2022-12-30,98181.4678193347,-0.03994209335914789,False,0.0,7196.467568822085,36059.14083625225,26519.895823567567,12797.252080765884,5376.725808128353,8599.873730885742,1632.1119709128202
2023-01-31,101196.4010137768,-0.010460863188049507,False,0.0,6887.628397026451,34345.067783903796,31733.624740904987,13121.93547658562,5005.786370511139,8026.299432940959,2076.0588119038584
2023-02-28,100960.33978221053,-0.012769164915964248,False,0.0,6895.832592952926,34376.64637642256,31013.707500069813,13603.902300962578,5115.890077010992,7919.78181942933,2034.5791153623238
2023-03-31,101939.22054721032,-0.0031972748335507006,False,0.0,6905.279500147916,34519.83895974051,30841.909067597775,13790.470103947211,5143.4160036359535,8444.479693394016,2293.827218746923
2023-04-28,103191.68183587056,-0.006925097486843335,False,0.0,6913.093227534616,34698.149115773296,30637.387124178695,14925.42423877037,5281.045636760768,8478.013016166193,2258.569476686617
2023-05-31,101442.72727907977,-0.027977206377240882,False,0.0,6921.3277558841955,34992.97338903057,28813.051388880467,14350.173512901101,5513.049875456885,8610.173758856547,2241.977598070001
2023-06-30,102230.17936805885,-0.020431851476955476,False,0.0,6929.572092789063,35077.636684490404,29467.52160782153,14163.605709916472,5910.209673902776,8578.612984482732,2103.0206146558576
2023-07-31,105066.97243553335,0.0,False,0.0,7210.305632474135,36047.183262771236,32193.235897240087,14056.423732555411,5201.547921558243,8326.864395419741,2031.4115935144853
2023-08-31,102753.4661967791,-0.022019348089369895,False,0.0,7220.18335024633,36220.92307003736,30119.80193435265,13519.697542561034,5248.86544651069,8487.395915857636,1936.5989372134127
2023-09-28,101803.50497480598,-0.03106083086889888,False,0.0,7228.783668877932,36090.47855236327,29485.077251836075,13809.819807422864,4971.719943217787,8377.856760735312,1839.7689903527419
2023-10-31,100720.61665403096,-0.04136747905407867,False,0.0,7236.101993789581,36141.87425097576,28469.517759809565,13374.636410130126,4836.527014782227,8725.36028733028,1936.5989372134122
2023-11-30,100278.56189855075,-0.0455748407514136,False,0.0,7245.583766394318,36151.65060669011,27775.552106924788,13360.130296887031,5174.509335871133,8666.81349752352,1904.3222882598548
2023-12-29,100265.38257607742,-0.04570027810025712,False,0.0,7254.646139194547,36504.15806130404,27242.383373610875,13258.587504185387,5417.856607055145,8778.241258768645,1809.5096319587815
2024-01-31,98925.39176679142,-0.05845396061555175,False,0.0,7009.177082683667,35256.22632735072,28470.04007605099,13436.484398535797,5208.776483324974,7978.191297557845,1566.4961012874287
2024-02-29,102995.3892427495,-0.019716787728464524,False,0.0,7015.4378847609605,35369.079019087636,31126.991673982007,14111.119598462286,5513.71082942166,7967.903494466217,1891.1467425687367
2024-03-29,104453.60539118624,-0.005837867315758527,False,0.0,7024.212403905078,35450.03273144997,31344.464580574222,14265.723498445434,5775.08312607596,8789.213107947891,1804.8759427876903
2024-04-30,105563.27084633407,-0.003983190058317931,False,0.0,7032.579291819021,35554.307546380296,32025.249331645526,14617.095998407145,5470.148779979274,9063.554523724646,1800.3353743781613
